#,Arrival,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Cash,Mobile Payment / Credit Card,Self-Checkout,Manual Counter
1,12:31:55,12:38:58,12:40:46,07:03.0,01:48.0,0,2,0,1,0,1
2,12:33:31,12:41:05,12:46:43,07:34.0,05:38.0,0,26,1,0,0,1
3,12:40:45,12:46:51,12:50:34,06:06.0,03:43.0,0,12,0,1,0,1
4,12:48:52,12:52:00,12:56:10,03:08.0,04:10.0,0,15,0,1,0,1
5,12:51:56,12:56:28,12:58:09,04:32.0,01:41.0,0,2,0,1,0,1
6,12:55:58,12:59:38,13:03:19,03:40.0,03:41.0,0,20,1,0,0,1
7,13:00:04,13:04:38,13:07:55,04:34.0,03:17.0,0,13,0,1,0,1
8,13:05:52,13:09:53,13:12:54,04:01.0,03:01.0,0,13,0,1,0,1
9,13:11:00,13:14:46,13:19:53,03:46.0,05:07.0,0,19,1,0,0,1
10,13:13:04,13:21:21,13:27:22,08:17.0,06:01.0,0,22,0,1,0,1
11,13:25:04,13:28:21,13:34:53,03:17.0,06:32.0,0,26,0,1,0,1
12,13:27:39,13:34:53,13:38:59,07:14.0,04:06.0,0,15,0,1,0,1
13,13:33:47,13:39:40,13:40:42,05:53.0,01:02.0,0,2,1,0,0,1
14,13:39:53,13:42:00,13:46:33,02:07.0,04:33.0,0,15,1,0,0,1
15,13:40:14,13:47:04,13:52:46,06:50.0,05:42.0,0,19,0,1,0,1
16,13:41:44,0,0,00:30.0,0,13:42:14,0,0,0,0,1
17,13:43:27,13:54:22,14:01:14,10:55.0,06:52.0,0,24,0,1,0,1
18,13:45:28,14:03:02,14:08:07,17:34.0,05:05.0,0,26,1,0,0,1
19,13:48:28,14:09:14,14:13:49,20:46.0,04:35.0,0,16,1,0,0,1
20,14:09:20,14:14:22,14:20:42,05:02.0,06:20.0,0,31,0,1,0,1
21,14:15:35,14:22:33,14:23:37,06:58.0,01:04.0,0,2,1,0,0,1
22,14:25:48,14:25:36,14:26:57,00:52.0,0,14:26:40,3,0,1,0,1
23,15:01:37,15:06:34,15:08:27,04:57.0,01:53.0,0,2,0,1,0,1
24,15:05:30,15:09:34,15:10:56,04:04.0,01:22.0,0,1,1,0,0,1
25,15:06:02,15:12:33,15:17:51,06:31.0,05:18.0,0,25,1,0,0,1
26,15:11:43,15:19:04,15:22:13,07:21.0,03:09.0,0,13,1,0,0,1
27,15:16:02,15:22:28,15:28:07,06:26.0,05:39.0,0,26,0,1,0,1
28,15:18:42,15:29:06,15:31:47,10:24.0,02:41.0,0,3,0,1,0,1
29,15:24:17,15:33:45,15:37:55,09:28.0,04:10.0,0,19,1,0,0,1
30,15:33:14,15:38:22,15:40:17,05:08.0,01:55.0,0,3,0,1,0,1
31,15:34:04,15:41:12,15:44:05,07:08.0,02:53.0,0,5,,1,0,1
32,15:40:40,15:44:49,15:51:03,04:09.0,06:14.0,0,23,,1,0,1
33,15:43:00,15:52:06,15:54:00,09:06.0,01:54.0,0,1,0,1,0,1
34,15:43:35,15:54:03,15:57:06,10:28.0,03:03.0,0,10,1,0,0,1
35,15:53:25,15:57:29,16:00:23,04:04.0,02:54.0,0,10,0,1,0,1
36,15:55:30,16:00:46,16:02:37,05:16.0,01:51.0,0,6,0,1,0,1
37,15:55:43,16:02:57,16:08:49,07:14.0,05:52.0,0,25,0,1,0,1
38,15:56:43,16:09:37,16:10:49,12:54.0,01:12.0,0,2,1,0,0,1
39,16:01:25,16:11:42,16:14:58,10:17.0,03:16.0,0,8,0,1,0,1
40,16:05:54,16:16:46,16:22:28,10:52.0,05:42.0,0,28,1,0,0,1
41,16:14:29,16:24:20,16:26:01,09:51.0,01:41.0,0,8,0,1,0,1
42,16:21:11,16:27:56,16:33:22,06:45.0,05:26.0,0,30,0,1,0,1
43,16:22:09,16:34:31,16:39:12,12:22.0,04:41.0,0,7,0,1,0,1
44,16:35:23,16:40:27,16:42:10,05:04.0,01:43.0,0,1,1,0,0,1
45,16:37:40,16:43:39,16:47:53,05:59.0,04:14.0,0,24,0,1,0,1
46,16:42:32,16:49:32,16:53:27,07:00.0,03:55.0,0,23,0,1,0,1
47,16:43:42,16:55:24,16:58:11,11:42.0,02:47.0,0,5,1,0,0,1
48,16:43:42,16:59:05,17:03:56,15:23.0,04:51.0,0,24,0,1,0,1
49,16:50:18,17:05:24,17:07:59,15:06.0,02:35.0,0,10,1,0,0,1
50,16:58:52,17:09:05,17:14:01,10:13.0,04:56.0,0,19,1,0,0,1
51,18:02:14,18:13:55,18:15:53,11:41.0,01:58.0,0,2,1,0,0,1
52,18:05:48,18:16:33,18:23:06,10:45.0,06:33.0,0,20,1,0,0,1
53,18:09:13,18:23:59,18:27:17,14:46.0,03:18.0,0,13,0,1,0,1
54,18:09:49,18:28:54,18:34:40,19:05.0,05:46.0,0,18,1,0,0,1
55,18:10:50,18:34:40,18:38:06,23:50.0,03:26.0,0,12,0,1,0,1
56,18:14:13,18:38:17,18:43:11,24:04.0,04:54.0,0,26,0,1,0,1
57,18:16:42,18:44:17,18:46:51,27:35.0,02:34.0,0,8,0,1,0,1
58,18:18:17,0,0,06:30.0,0,18:24:47,0,0,0,0,1
59,18:21:54,18:47:55,18:51:53,26:01.0,03:58.0,0,12,1,0,0,1
60,18:25:16,18:53:08,18:57:03,27:52.0,03:55.0,0,18,1,0,0,1
61,18:31:31,18:57:07,19:01:48,25:36.0,04:41.0,0,22,0,1,0,1
62,18:35:08,19:02:45,19:04:22,27:37.0,01:37.0,0,2,0,1,0,1
63,18:35:16,19:05:59,19:07:38,30:43.0,01:39.0,0,3,1,0,0,1
64,18:39:44,19:09:25,19:14:44,29:41.0,05:19.0,0,20,0,1,0,1
65,18:44:30,19:16:17,19:18:37,31:47.0,02:20.0,0,6,1,0,0,1
66,18:44:47,19:19:29,19:24:36,34:42.0,05:07.0,0,26,0,1,0,1
67,18:49:14,0,0,02:02.0,0,18:51:16,0,0,0,0,1
68,18:52:55,19:26:19,19:28:17,33:24.0,01:58.0,0,6,0,1,0,1
69,18:55:19,19:29:29,19:30:34,34:10.0,01:05.0,0,5,0,1,0,1
70,18:58:25,19:30:58,19:36:20,32:33.0,05:22.0,0,31,0,1,0,1
71,18:59:53,19:37:52,19:43:14,37:59.0,05:22.0,0,18,1,0,0,1
72,19:01:21,0,0,00:49.0,0,19:02:10,0,0,0,0,1
73,19:02:15,19:43:53,19:48:33,41:38.0,04:40.0,0,12,1,0,0,1
74,19:09:39,19:50:05,19:52:03,40:26.0,01:58.0,0,10,0,1,0,1
76,19:16:24,19:53:29,19:58:45,37:05.0,05:16.0,0,29,0,1,0,1
78,19:20:51,19:59:21,20:04:03,38:30.0,04:42.0,0,24,0,1,0,1
79,19:23:12,20:05:20,20:10:36,42:08.0,05:16.0,0,29,0,1,0,1
81,19:29:28,20:10:53,20:14:42,41:25.0,03:49.0,0,10,1,0,0,1
82,19:31:00,20:16:29,20:20:43,45:29.0,04:14.0,0,28,0,1,0,1
84,19:37:23,0,0,01:36.0,0,19:38:59,0,0,0,0,1
85,19:38:02,0,0,01:02.0,0,19:39:04,0,0,0,0,1
86,19:39:10,20:20:58,20:23:32,41:48.0,02:34.0,0,10,0,1,0,1
