#,Arrival,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Mobile Payment/Credit Card,Self-Checkout,Manual Counter
1,12:35:30,12:38:07,12:42:06,02:37.0,03:59.0,0,30,1,1,0
2,12:39:54,12:42:51,12:44:28,02:57.0,01:37.0,0,8,1,1,0
3,12:43:07,12:45:19,12:47:23,02:12.0,02:04.0,0,3,1,1,0
4,12:46:38,12:48:08,12:49:56,01:30.0,01:48.0,0,1,1,1,0
5,12:48:27,12:49:56,12:52:09,01:29.0,02:13.0,0,11,1,1,0
6,12:51:29,12:53:04,12:55:05,01:35.0,02:01.0,0,4,1,1,0
7,12:54:27,12:55:37,12:58:12,01:10.0,02:35.0,0,2,1,1,0
8,12:55:57,12:58:18,13:00:15,02:21.0,01:57.0,0,8,1,1,0
9,12:59:27,13:00:44,13:02:00,01:17.0,01:16.0,0,7,1,1,0
10,12:59:25,13:02:03,13:03:14,02:38.0,01:11.0,0,2,1,1,0
11,13:01:33,13:03:31,13:06:00,01:58.0,02:29.0,0,18,1,1,0
12,13:02:33,0:00:00,0:00:00,02:38.0,00:00.0,13:05:11,0,1,1,0
13,13:04:49,13:06:05,13:07:17,01:16.0,01:12.0,0,15,1,1,0
14,13:05:51,13:07:20,13:09:12,01:29.0,01:52.0,0,48,1,1,0
15,13:06:10,0:00:00,0:00:00,02:01.0,00:00.0,13:08:11,0,1,1,0
16,13:07:03,13:09:36,13:12:32,02:33.0,02:56.0,0,2,1,1,0
17,13:10:43,13:12:41,13:15:27,01:58.0,02:46.0,0,2,1,1,0
18,13:13:26,13:15:45,13:18:22,02:19.0,02:37.0,0,6,1,1,0
19,13:17:58,13:19:09,13:22:00,01:11.0,02:51.0,0,5,1,1,0
20,13:18:20,0:00:00,0:00:00,02:30.0,00:00.0,13:20:50,0,1,1,0
21,13:21:19,13:22:58,13:25:55,01:39.0,02:57.0,0,18,1,1,0
22,13:23:48,13:26:08,13:28:05,02:20.0,01:57.0,0,14,1,1,0
23,13:26:55,13:28:14,13:30:55,01:19.0,02:41.0,0,12,1,1,0
24,13:28:56,13:31:09,13:33:16,02:13.0,02:07.0,0,23,1,1,0
25,13:30:36,13:33:31,13:35:45,02:55.0,02:14.0,0,16,1,1,0
26,13:34:48,13:35:57,13:38:34,01:09.0,02:37.0,0,15,1,1,0
27,13:36:19,13:39:14,13:40:35,02:55.0,01:21.0,0,33,1,1,0
28,13:39:30,13:41:08,13:43:43,01:38.0,02:35.0,0,38,1,1,0
29,13:42:49,13:44:16,13:46:06,01:27.0,01:50.0,0,38,1,1,0
30,13:43:55,13:46:47,13:49:14,02:52.0,02:27.0,0,11,1,1,0
31,13:47:17,13:49:18,13:51:39,02:01.0,02:21.0,0,12,1,1,0
32,13:50:09,13:52:33,13:54:14,02:24.0,01:41.0,0,3,1,1,0
33,13:52:49,13:54:41,13:56:25,01:52.0,01:44.0,0,27,1,1,0
34,13:55:21,13:57:24,13:58:31,02:03.0,01:07.0,0,14,1,1,0
35,13:56:46,13:59:06,14:01:00,02:20.0,01:54.0,0,8,1,1,0
36,13:59:28,14:01:19,14:04:02,01:51.0,02:43.0,0,13,1,1,0
37,14:02:48,14:05:01,14:07:52,02:13.0,02:51.0,0,38,1,1,0
38,14:05:31,14:08:17,14:11:00,02:46.0,02:43.0,0,16,1,1,0
39,14:10:24,14:11:37,14:14:12,01:13.0,02:35.0,0,31,1,1,0
40,14:13:53,14:15:09,14:17:56,01:16.0,02:47.0,0,14,1,1,0
